year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2017	12480	355	Liberty 	-	Opponent Totals	-	-	-	-	-	7073:00	738	1,702	43.36	241	719	33.52	503	698	72.06	2,220	63.43	258	921	1,179	33.69	378	499	158	84	608	""	""	10
2017	12480	28600	Lipscomb	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	49	40	89	2.70	""	10	""	""	""	""	""	""
2017	12480	28600	Lipscomb	-	Totals	-	-	-	-	-	6624:00	939	1,978	47.47	340	928	36.64	586	811	72.26	2,804	84.97	340	874	1,214	36.79	599	500	218	104	702	""	""	16
2017	12480	28600	Lipscomb	-	Opponent Totals	-	-	-	-	-	6625:00	872	1,967	44.33	243	699	34.76	575	828	69.44	2,562	77.64	361	810	1,171	35.48	432	514	224	106	735	""	""	32
2017	12480	32	Little Rock	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	36	42	78	2.44	""	10	""	""	""	""	""	""
2017	12480	32	Little Rock	-	Totals	-	-	-	-	-	6450:00	775	1,749	44.31	207	599	34.56	431	582	74.05	2,188	68.38	305	753	1,058	33.06	379	412	183	120	591	""	""	10
2017	12480	32	Little Rock	-	Opponent Totals	-	-	-	-	-	6451:00	739	1,661	44.49	228	633	36.02	479	668	71.71	2,185	68.28	282	752	1,034	32.31	408	428	172	79	529	""	""	11
2017	12480	99	Long Beach St.	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	70	49	119	3.50	""	9	""	""	""	""	""	""
2017	12480	99	Long Beach St.	-	Totals	-	-	-	-	-	6926:00	895	2,035	43.98	216	616	35.06	543	750	72.40	2,549	74.97	396	819	1,215	35.74	447	488	199	91	682	""	""	18
2017	12480	99	Long Beach St.	-	Opponent Totals	-	-	-	-	-	6925:00	939	2,029	46.28	263	696	37.79	525	749	70.09	2,666	78.41	388	847	1,235	36.32	471	468	232	141	690	""	""	16
2017	12480	363	Longwood	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	43	64	107	3.57	""	6	""	""	""	""	""	""
2017	12480	363	Longwood	-	Totals	-	-	-	-	-	6001:00	738	1,660	44.46	186	568	32.75	356	488	72.95	2,018	67.27	218	702	920	30.67	325	456	175	124	540	""	""	12
2017	12480	363	Longwood	-	Opponent Totals	-	-	-	-	-	6000:00	874	1,833	47.68	249	628	39.65	411	590	69.66	2,408	80.27	361	780	1,141	38.03	422	380	238	73	480	""	""	4
2017	12480	671	Louisiana	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	61	41	102	3.09	""	10	""	""	3	""	""	""
2017	12480	671	Louisiana	-	Totals	-	-	-	-	-	6626:00	945	2,022	46.74	231	673	34.32	583	839	69.49	2,704	81.94	442	811	1,253	37.97	473	440	233	91	625	""	""	19
2017	12480	671	Louisiana	-	Opponent Totals	-	-	-	-	-	6625:00	905	1,913	47.31	230	639	35.99	478	686	69.68	2,518	76.30	298	761	1,059	32.09	411	495	202	109	685	""	""	18
2017	12480	366	Louisiana Tech	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	38	48	86	2.69	""	9	""	""	""	""	""	""
2017	12480	366	Louisiana Tech	-	Totals	-	-	-	-	-	6617:00	911	1,952	46.67	257	711	36.15	478	674	70.92	2,557	77.48	335	911	1,246	37.76	543	407	223	176	519	""	""	5
2017	12480	366	Louisiana Tech	-	Opponent Totals	-	-	-	-	-	6625:00	810	1,955	41.43	230	671	34.28	353	517	68.28	2,203	66.76	314	816	1,130	34.24	456	457	189	103	577	""	""	14
2017	12480	367	Louisville 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	41	38	79	2.32	""	2	""	""	1	""	""	""
2017	12480	367	Louisville 	-	Totals	-	-	-	-	-	6850:00	952	2,086	45.64	238	671	35.47	486	708	68.64	2,628	77.29	457	886	1,343	39.50	461	374	227	185	653	""	""	12
2017	12480	367	Louisville 	-	Opponent Totals	-	-	-	-	-	6850:00	760	1,893	40.15	213	673	31.65	510	734	69.48	2,243	65.97	353	786	1,139	33.50	367	459	169	118	625	""	""	10
2017	12480	371	Loyola Chicago	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	45	49	94	2.94	""	7	""	""	""	""	""	""
2017	12480	371	Loyola Chicago	-	Totals	-	-	-	-	-	6500:00	852	1,755	48.55	259	666	38.89	385	543	70.90	2,348	73.38	218	784	1,002	31.31	474	377	218	76	545	""	""	10
2017	12480	371	Loyola Chicago	-	Opponent Totals	-	-	-	-	-	6500:00	766	1,716	44.64	212	582	36.43	393	554	70.94	2,137	66.78	263	772	1,035	32.34	375	459	172	106	561	""	""	5
2017	12480	369	Loyola Maryland	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	68	46	114	3.45	""	29	""	""	""	""	""	""
2017	12480	369	Loyola Maryland	-	Totals	-	-	-	-	-	6650:00	753	1,791	42.04	177	538	32.90	492	711	69.20	2,175	65.91	382	731	1,113	33.73	385	496	240	115	636	""	""	9
2017	12480	369	Loyola Maryland	-	Opponent Totals	-	-	-	-	-	6650:00	810	1,750	46.29	189	574	32.93	440	613	71.78	2,249	68.15	294	766	1,060	32.12	418	477	235	142	650	""	""	17
2017	12480	370	Loyola Marymount	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	52	45	97	3.23	""	10	""	""	""	""	""	""
